ITEMID;CATEGORY1;CATEGORY1_ID;CATEGORY2;CATEGORY2_ID;CATEGORY3;CATEGORY3_ID;CATEGORY4;CATEGORY4_ID;BRAND;ITEMCODE;ITEMNAME
5301;Confectionery;22614621;Chocolate-Wafer;27-38296090;Chocolate;80-3121418;Chocolate;161-38603197;TORKU;5921;TORKU BAR 4X4 PEANUTS 180 GR *24*
5302;Food;8125199;Biscuits-Snacks;18-42910160;Biscuit;41-2122214;Biscuit;80-410111229;TORKU;5922;TORKU BISK.77 GR COKOMIO BITTER *24*
5303;Food;8125199;Biscuits-Snacks;18-42910160;Biscuit;41-2122214;Cream Biscuit;80-6023166101;TORKU;5923;TORKU BISK.240 GR 3 PCS FULL GERM *8*
5304;Food;8125199;Biscuits-Snacks;18-42910160;Biscuit;41-2122214;With Cream;80-60242329;TORKU;5924;TORKU BISK.76 GR PLAIN WITH CREAM *96*
5305;Confectionery;22614621;Chewing Gum-Confectionery;27-101236029;Confectionery;81-226146;Soft Candy;164-9910116660;BEBETO;5926;PRT. BEBETO M.MALLOW ASM 500 GR*18
5306;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5927;SCRIKSS 78 BALLPOINT PEN BLACK
5307;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5928;SCRIKSS 78 BALLPOINT PEN BURGUNDY
5308;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5929;SCRIKSS 108 CHROME BALLPOINT PEN
5309;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5930;SCRIKSS TERAMO PREMIUM NOTEBOOK
5310;Breakfast Products;14110271;Milk-Yogurt-Cheese;20-1011129754;Milk;59-22252499;Fruity;122-61992429;DANONE;5931;DANONE MILK 180 ML DISNEY STRAWBERRY *27*
5311;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5933;GEZER 8590 SLIPPERS EVA CLASSIC ZENNE *12*
5312;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5934;GEZER 8541 NEOCLASSICAL SLIPPERS MEN *12*
5313;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5935;GEZER 8610.00 EVA SLIPPERS BOOTIES ERK *12*
5314;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5936;GEZER 8678 EVA SLIPPER ROLLER *16*
5315;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5937;WALK-AROUND BOOTIES GIRL FLIP GT6YPM.08877.01
5316;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5938;GEZER ZENNE GT1KZM.09005.00
5317;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5939;GEZER 9017 KOLLEKSYN. ROLLER *12*
5318;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5940;GEZER GOND. ZENNE 9030
5319;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5941;MOBILE FILLET GIRL GT1KFM.09071.00
5320;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5942;TRAVELING ROLLER GA7KME.02349.00
5321;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5943;GEZER ZENNE GA7KZE.02343.00
5322;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5944;GEZER 9330.00 COLLECTION ZENNE *6*
5323;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5945;GEZER 9971 FILET GIRL *12*
5324;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5946;GEZER 10029 WINTER ROLLER *12*
5325;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5947;GEZER 10192 EVA ROLLER *12*
5326;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5948;GEZER 10221 ROLLER *16*
5327;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5949;GEZER 10485.00 ROLLER *12*
5328;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5950;GEZER 10655 PU ZENNE *12*
5329;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5951;GEZER 11997 GONDOLA ROLLER SLIPPERS
5330;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;5952;GEZER 12001 GONDOLA ZENNE SLIPPERS
5331;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5953;ARWEY ANDRE NOT BLOCK ORANGE
5332;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5954;ARWEY ANN NOT BLOK GREEN
5333;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Freezer Bag;73-490492;TOFITA;5955;TO-FI-TA 1813 ICE. POS. BIG 20LI *60*
5334;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Baking Paper;73-927516670;TOFITA;5957;TO-FI-TA 1810 KES. OILY DIRTY. PAPER *24*
5335;Cold Beverages;221882514;Non-Carbonated Drink;13-702343101;Powder Drink;27-24182999;Powder;43-97434390;KOZA;5960;KOZA BLACK MULBERRY HOT *36*
5336;Cold Beverages;221882514;Non-Carbonated Drink;13-702343101;Powder Drink;27-24182999;Powder;43-97434390;KOZA;5961;KOZA BLACK MULBERRY PACKAGE *24*
5337;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5964;TONTON CARS 6 SEATS 660085
5338;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5965;TONTON LIVESTOCK 660610
5339;Toy;182825173;Educational Toys;25-43246023;Toys;78-18282517;Baby Toy;158-416611223;OYUNCAK;5967;PLUSH CUTE BEAR 80 CM
5340;Home;627999999;Books-Magazines-Stationery;17-60299723;Stationery;37-14122124;Stationery Supplies;70-60239970;KIRTASIYELER;5972;TOMBIK AUTO. CANTEEN
5341;Cleaning;246161229;Fragrances;15-609060112;Air Fresheners;88-185199;Spray Perfumes;193-1019923112;CARPEX;5974;CARPEX G. FRAGRANCE FLORA ACTION 250 ML
5342;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;KARDA;5975;PRT. WIKKI STIX STRAWBERRY
5343;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;KARDA;5976;PRT. STONE THE TASTE OF LOVE BLACK
5344;Meat-Chicken;62430241;Processed Meat;16-291013124;Sausage;33-22182212;Beef Sausage;59-652716690;NAMET;5977;NAMET SAUSAGE 250 GR KOKTELY SOFRAM
5345;Meat-Chicken;62430241;Processed Meat;16-291013124;Salami;33-221151;Beef Salami;58-652716623;NAMET;5978;NAMET BEEF HUNGARIAN SALAMI 7/24 60GR*18*
5346;Cosmetics;141829166;Oral Care Products;22-23702943;Toothpastes;65-512125;Pastes;134-61382723;SIGNAL;5979;SIGNAL D.MAC. 75 ML WHI NOW GLOSS.*24*
5347;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;5980;ALGIDA MAX DUO POPS VAN&COCOA 65 ML
5348;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;5981;ALGIDA FESTIVAL KRML VAN PRMO 6X750 ML
5349;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;5982;ALGIDA BOOM BOOM 85 ML *24*
5350;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ketchup-Mayonnaise;44-146243;Mayonnaises;90-61992743;CALVE;5983;CALVE MAYONNAISE 600 G *8*
5351;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;5984;ALGIDA MAG. MINI 4X345 ML DARK&WHITE PRM
5352;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;5985;ALGIDA MAGNUM 350 ML MINI CL ANT FIN. PRM *4*
5353;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;5986;ALGIDA CARTE DOR SLC CREAM KRM. PRM 850ML *6*
5354;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;5987;ALGIDA SO GOOD STRAWBERRY 275 ML *6*
5355;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ketchup-Mayonnaise;44-146243;Ketchups;90-60972331;CALVE;5988;CALVE KETCHUP 600 GR *12*
5356;Detergent;5624621;Laundry Washing;14-38236123;Fabric Softeners;30-312825;Liquid;43-1011172929;RINSO;5989;RINSO CONS YUM. 960 ML BASEMENT 40 Y *16*
5357;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;5990;ALGIDA MAGNUM DBL PNT CHOC DELUX 440ML *8*
5358;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;5991;ALGIDA MAGNUM DBL PINT WHT COKIS 440ML *8*
5359;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos without Cream;139-6010116661;ELIDOR;5992;ELIDOR 650 ML SILKY YUM. *16*
5360;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos without Cream;139-6010116661;CLEAR;5993;CLEAR 600 ML WOMEN DOK. OPPOSITE *16*
5361;Tea-Coffee-Sugar;31283014;Non-Carbonated Drink;13-702343101;Tea;27-312899;Teapot;40-65612960;LIPTON;5994;LIPTON LEG DEM. POS.320 GR *16*
5362;Tea-Coffee-Sugar;31283014;Non-Carbonated Drink;13-702343101;Tea;27-312899;Teapot;40-65612960;LIPTON;5995;LIPTON LYL DEM. POS.100LU 320 GR *16*
5363;Cosmetics;141829166;Makeup;22-61236099;Makeup Materials;67-1611428;Nail Polish;142-90242493;PASTEL;5996;PASTEL NAIL Polish 29
5364;Cosmetics;141829166;Makeup;22-61236099;Makeup Materials;67-1611428;Nail Polish;142-90242493;PASTEL;5997;PASTEL NAIL POLISH 30
5365;Cosmetics;141829166;Makeup;22-61236099;Makeup Materials;67-1611428;Nail Polish;142-90242493;PASTEL;5998;PASTEL NAIL POLISH 47
5366;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6003;GEZER ZILEY ILARIA ZENNE BALLET FLATS 0010000
5367;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6004;TRAVELING SLIPPER ROLLER GT1KMM.3989.02
5368;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6005;GEZER SLIPPERS ZENNE SHAVED 6519
5369;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6006;GEZER SHOES DILAY BOOTIES BALLET FLATS 1510
5370;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6007;TRAVELING SHAVED FILET MALE
5371;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6008;TRAVELING SHAVED BOOTIES MAN
5372;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6009;GEZER 7054.00.0 KIŞLIK MER. SLIPPERS *12*
5373;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6010;GEZER GONDOLA ZENNE CONTRACT
5374;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6011;TRAVELING SLIPPERS NEOCLASSICAL ZENNE 3
5375;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6012;TRAVELING SLIPPERS 0890 ZENNE
5376;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6013;GEZER 0974.00.0 LORIS SLIPPER ROLLER *6*
5377;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6014;GEZER ZENNE NEOKLASIK GT1YZM.07555.00
5378;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6015;GEZER 7638.00 SHAVED WINTER. MALE PAT. *12*
5379;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6016;ZILEY 0784.00.0 ZENNE *12*
5380;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6017;GEZER WOMEN'S BALLET FLATS ZENNE 7664.03
5381;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6018;ZENNE GT1YZM.07958.00 WITH GEZER LOGO
5382;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6019;GEZER ZENNEGT1YZM.07965.00
5383;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6020;GEZER EVA MERDANEGT5YMM.07976.00
5384;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6021;TRAVELING AIRBLOW BOOTIES (MEN)GT6YPM.08010.00
5385;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6022;GEZER ZENNE SLIPPERS GT5YZE.08046.00
5386;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6023;GEZER 8072 PU NEOCLASSICAL BOOTIES GIRL *12*
5387;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6024;GEZER CLASSIC MEN'S GT2YME.08082.00
5388;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6025;GEZER 5265.00.0 SOFT PVC SPORT ROLLER *12*
5389;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6026;TRAVELING LINEN 1023000
5390;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6027;GEZER 5674 EVA SLIPPERS WAITER *16*
5391;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6028;GEZER NEO CLASSIC ROLLER 5807000
5392;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6030;GEZER COLLECTION 6163010
5393;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6031;TRAVELING CROSS ROLLER
5394;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6032;GEZER MODA CLASSIC ZENNE 6265000
5395;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6033;GEZER ENJOY ROLLER SLIPPERS
5396;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6034;TRAVELING SLIPPERS ZENNE GONDOLA 6435
5397;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6035;MOBILE SLIPPERS SHAVED BOOTIES 6437
5398;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6036;TRAVELING SHOES BABY PANDOF 1327
5399;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6037;TRAVEL SHOES BOOTIES PANDOF 1332
5400;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6038;SHAVED SLIPPERS AND BOOTIES 6533
5401;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6039;TRAVELING SLIPPERS ZENNE BOW 6656
5402;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6040;TRAVELING BOOTIES GIRLS GIRLS CHIROKA GT1YPM.06691.00
5403;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6041;GEZER NECLA GIRLS LINEN BOOTIES*12 -1515.00.0
5404;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6042;GEZER 6763.00.0 ROLLER SLIPPERS WITH BUCKLE *16*
5405;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6043;TRAVELING SLIPPERS 6829 FLELET MEN
5406;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6044;TRAVELING ROLLER FLAP FLOP GT5YMF.07277.00
5407;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6045;GEZER BABY MEN'S SLIPPERS GT5YBF.07305.00
5408;Home;627999999;Textile-Clothing-Accessories;12-972460101;Shoes-Slippers;26-128114;Footwear;74-232316629;GEZER;6046;GEZER ZENNE BALLET FLATS GA2YZM.01737.00
5409;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos without Cream;139-6010116661;CLEAR;6047;CLEAR 350 ML OIL. SHEET. ETK. COUNT. *30*
5410;Cosmetics;141829166;Perfume-Deodorant;22-922375100;Deodorants;68-56185;Deo;143-65909024;REXONA;6048;REXONA WM INV. BLACK WHITE SP 150 ML
5411;Cosmetics;141829166;Perfume-Deodorant;22-922375100;Deodorants;68-56185;Deo;143-65909024;REXONA;6049;DEO REXONA BAY EXTREME DEO SPRAY 150 ML
5412;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos without Cream;139-6010116661;AXE;6050;AXE SAMP.600 ML DAILY CARE.*16*
5413;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6051;ALGIDA MAGNUM 320 ML ALMOND MULTIP.
5414;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6052;ALGIDA CARTE D OR PINTS TRIPLE CHOCOLATE
5415;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6053;ALGIDA 1 L STRAWBERRY VANILLA*6*
5416;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6054;ALGIDA MARAŞ LOG 450ML GOAT
5417;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6055;ALGIDA MAG. MINI CORE PRM(2KLS+2ANT+2FND)
5418;Cosmetics;141829166;Shower-Bath;22-6511210154;Shampoos;66-2211620;Shampoos without Cream;139-6010116661;CLEAR;6056;CLEAR 650 ML HERBAL CENTS. DRY SHEET.16*
5419;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6057;RAINBOW IN PERCEPTION 65 ML SNOW. MEYV.
5420;Detergent;5624621;Laundry Washing;14-38236123;Liquid-Gel Detergents;30-2213612;Liquid;43-1011172929;OMO;6058;OMO LIQUID 30 WASH ACTIVE 1950 ML *6*
5421;Detergent;5624621;Laundry Washing;14-38236123;Liquid-Gel Detergents;30-2213612;Liquid;43-1011172929;OMO;6059;OMO LIQUID 30 WASH BLACK 1950 ML *6*
5422;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6060;ALGIDA FESTIVAL 1000 ML KARAD.-VAN.
5423;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ketchup-Mayonnaise;44-146243;Ketchups;90-60972331;CALVE;6061;CALVE KETCHUP MAX 400 GR *8*
5424;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6062;ALGIDA MAX ROCKS 90 ML
5425;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6063;FESTIVAL BLACK MULBERRY-VAN 750 ML
5426;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6064;ALGIDA CARTE DOR SEL CHEESECAKE 900 ML
5427;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6065;ALGIDA ORANGE PORTAKAL 100 ML
5428;Food;8125199;Pastry-Sweets;18-1122731112;Cake Ingredients;47-2011616;Other Powdered Desserts;101-65759097;CARTE D OR;6066;CARTE DOR PUD. COCOA + BANANA 2 PIECES*12*
5429;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6067;PERCEPTION CARTE DOR SEL. CHOCO & TRUF.1 LT
5430;Milk;222524999;Ice Cream-Dairy Dessert;31-65902765;Ice Creams;84-518175;Covered;183-60922931;ALGIDA;6068;CORNETTO CLAS IN PERCEPTION. BLACK.125 ML *24*
5431;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ketchup-Mayonnaise;44-146243;Ketchups;90-60972331;CALVE;6069;CALVE KETCHUP 400 GR *8*
5432;Food;8125199;Pastry-Sweets;18-1122731112;Cookies-Breadsticks-Grissini;47-1425211;Breadstick-Grissini;100-709770101;UNO;6070;UNO BAKED FULL RYE 450 GR
5433;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ready Sauces;44-1012218;Other Ready Sauces;88-65752375;KNORR;6071;KNORR ACISSO 50 ML *24*
5434;Food;8125199;Ready Meal-Canned-Sauce;18-56234329;Ready Sauces;44-1012218;Other Ready Sauces;88-65752375;KNORR;6072;KNORR RAFT. SAUCE BASIL THYME 50GR*72*
5435;Food;8125199;Soup-Bouillon;18-3890754;Bouillons;42-2251528;Meat Bouillon Tablet;85-241129097;KNORR;6073;KNORR BUILLON 3LT ETSUYU 60 GR*128*
5436;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Garbage Sacks;73-3897423;COOK;6074;COOK GARBAGE BAG JUMBO 80X110 *20*
5437;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Foil Bowl;73-100319060;COOK;6075;COOK RICE PUDDING BOWL ASH.&AT 8 PCS
5438;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Cling Film;73-1017538100;COOK;6076;COOK CLING FILM 15 MT+ICE. POS. BIG HED.*12*
5439;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Garbage Sacks;73-3897423;COOK;6077;COOK COP TOR. SMALL MEDIUM+LARGE SIZE HED.
5440;Breakfast Products;14110271;Honey-Jam;20-4233154;Honey;54-211599;Strained;113-101432461;KOSKA;6078;KOSKA HONEY 400 GR FLOWER *12*
5441;Cold Beverages;221882514;Non-Carbonated Drink;13-702343101;Iced Drink;27-2252915;Iced Tea;175-101706038;DOGUS;6081;DOĞUŞ S.TEA PEACH 330 ML 6 BUY 5 ODE *1*
5442;Tea-Coffee-Sugar;31283014;Non-Carbonated Drink;13-702343101;Tea;27-312899;Bulk;40-65602461;DOGADAN;6082;DOĞUŞ GOURMET TEA 1 KG *12*
5443;Cleaning;246161229;Dishwashing Tools;15-41123123;Dishwashing Sponges;85-225151;Sponges;185-101272431;SC BRITE;6085;SC. BRITE GREEN CLASS. TIR. KORU.*24*
5444;Cleaning;246161229;Dishwashing Tools;15-41123123;Dishwashing Sponges;85-225151;Sponges;185-101272431;SC BRITE;6086;SC. BRITE BLISTER SCOURING WIRE *30*
5445;Cleaning;246161229;Dishwashing Tools;15-41123123;Dishwashing Sponges;85-225151;Sponges;185-101272431;SC BRITE;6087;SC. BRITE GREEN 2 CLASS. TIR. COR.*40*
5446;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Food Preservative;73-993816675;KOROPLAST;6088;KRP. BUZD. POS. 3+1 LARGE 30X45 *24*
5447;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Garbage Bag;73-389292101;KOROPLAST;6089;KRP. GARBAGE TORB. MEDIUM 55X60 *50*
5448;Baby;262614;Baby Supplies;12-424424;Baby Diapers;22-318325;Standard Package;34-101659723;CANBEBE;6090;CANBEBE GIANT MEGA EXTRA LARGE 34LU *4*
5449;Food;8125199;Soup-Bouillon;18-3890754;Bouillons;42-2251528;Meat Bouillon Tablet;85-241129097;KNORR;6091;KNORR BOUILLON 20 G BROTH *288*
5450;Home;627999999;Kitchen Utensils;17-6111297100;Kitchen Utensils;39-1625247;Serving Accessories;73-101292324;LUX;6092;LUX L-259 DESIGN NAPKIN HOLDER *24*
5451;Cosmetics;141829166;Shower-Bath;22-6511210154;Liquid-Gel Soaps;66-22122712;Liquid;43-1011172929;HSAKIR;6095;HSAKIR S.EL SAB.350 ML LAVENDER *12*
5452;Cosmetics;141829166;Oral Care Products;22-23702943;Toothbrushes-Floss;65-512123;Brushes;133-100752323;COLGATE;6096;COLGATE D.FIR. ZIGZAG 1+1 *12*
